enterprise_id,application_number,kvic_branch_code,financial_year,application_date,sanction_date,disbursement_date,state,district,block,location_type,gender,category,age,education_level,is_physically_challenged,sector,activity,enterprise_status,previous_enterprise_id,project_cost_rs,margin_money_subsidy_rs,subsidy_percentage,bank_loan_amount_rs,beneficiary_contribution_rs,bank_name,bank_branch,employment_at_setup,male_employees,female_employees,current_employment,is_second_loan_availed,second_loan_date,upgraded_to_small_enterprise,upgrade_date,additional_employment_after_upgrade,operational_status,last_inspection_date,annual_turnover_rs,sustainability_score
PMEGP-2024-000011,APP-480612,KVIC-KAR-19,2025-26,2025-11-11,2026-02-02,2026-03-08,Karnataka,Bengaluru,Bengaluru-Block-2,Urban,Female,SC,26,Below 10th,False,Service,Professional Services,New,,709597,234694.96,33.07,403942.34,70959.7,Punjab National Bank,Punjab-Bengaluru-9,8,6,2,8,False,,False,,0,Operational,2026-10-06,778527.39,86
PMEGP-2025-000012,APP-598369,KVIC-BIH-07,2023-24,2024-01-07,2024-02-16,2024-03-18,Bihar,Darbhanga,Darbhanga-Block-4,Rural,Female,ST,55,Technical/ITI,True,Service,Professional Services,New,,410922,111857.4,27.22,257972.4,41092.2,IndusInd Bank,IndusInd-Darbhanga-5,5,2,3,8,False,,False,,0,Operational,2025-01-04,904330.3,93
PMEGP-2023-000013,APP-642717,KVIC-KAR-01,2025-26,2025-07-25,2025-08-31,2025-09-30,Karnataka,Bengaluru,Bengaluru-Block-3,Rural,Female,ST,35,Post Graduate,False,Service,IT & ITES,New,,207540,57796.58,27.85,128989.42,20754.0,Punjab National Bank,Punjab-Bengaluru-1,3,1,2,2,False,,False,,0,Operational,2026-04-06,447712.21,92
PMEGP-2024-000014,APP-446479,KVIC-GUJ-18,2023-24,2023-05-07,2023-07-08,2023-08-07,Gujarat,Rajkot,Rajkot-Block-2,Rural,Female,General,29,Technical/ITI,False,Service,Tourism & Hospitality,Upgraded,PMEGP-2018-015926,695948,190832.79,27.42,435520.41,69594.8,Indian Bank,Indian-Rajkot-4,2,1,1,1,False,,False,,0,Operational,2024-07-20,1247844.83,78
PMEGP-2025-000015,APP-471507,KVIC-TEL-02,2024-25,2024-11-03,2024-12-29,2025-02-11,Telangana,Hyderabad,Hyderabad-Block-1,Urban,Male,General,46,Technical/ITI,False,Manufacturing,Chemical & Chemical Products,New,,2178964,335729.36,15.41,1625338.24,217896.4,Punjab National Bank,Punjab-Hyderabad-4,6,3,3,7,False,,False,,0,Operational,2025-12-25,1840760.76,79
PMEGP-2023-000016,APP-246991,KVIC-MAD-15,2024-25,2024-11-03,2024-12-14,2025-01-15,Madhya Pradesh,Indore,Indore-Block-1,Rural,Male,General,27,Below 10th,False,Manufacturing,Leather Products,Upgraded,PMEGP-2022-006113,2442732,644275.68,26.38,1554183.12,244273.2,Canara Bank,Canara-Indore-3,9,4,5,14,False,,False,,0,Operational,2025-11-14,8052888.07,71
PMEGP-2024-000017,APP-520521,KVIC-UTT-15,2025-26,2025-04-16,2025-05-26,2025-07-04,Uttar Pradesh,Agra,Agra-Block-3,Rural,Female,SC,39,Graduate,False,Service,Professional Services,New,,965990,250491.13,25.93,618899.87,96599.0,HDFC Bank,HDFC-Agra-8,3,2,1,0,False,,False,,0,Closed,2026-03-16,0.0,16
PMEGP-2025-000018,APP-161324,KVIC-UTT-02,2024-25,2025-01-22,2025-04-09,2025-05-28,Uttar Pradesh,Varanasi,Varanasi-Block-1,Rural,Male,SC,51,Post Graduate,False,Service,Business Services,New,,365080,114709.29,31.42,213862.71,36508.0,State Bank of India,State-Varanasi-9,2,0,2,2,False,,False,,0,Operational,2025-12-11,1177783.24,84
PMEGP-2023-000019,APP-171262,KVIC-WES-08,2024-25,2025-03-12,2025-06-05,2025-07-05,West Bengal,Kolkata,Kolkata-Block-5,Rural,Male,SC,23,Post Graduate,True,Manufacturing,Food Processing,New,,1379178,440219.16,31.92,801041.04,137917.8,Axis Bank,Axis-Kolkata-10,12,7,5,15,False,,False,,0,Operational,2026-03-08,3755341.57,71
PMEGP-2024-000020,APP-802258,KVIC-WES-15,2023-24,2023-09-08,2023-10-23,2023-11-23,West Bengal,Howrah,Howrah-Block-3,Rural,Female,OBC,41,Below 10th,False,Service,Retail Trade,New,,680547,176511.76,25.94,435980.54,68054.7,ICICI Bank,ICICI-Howrah-10,2,1,1,1,False,,False,,0,Under Observation,2024-10-05,364676.99,46
PMEGP-2025-000021,APP-630458,KVIC-ASS-12,2025-26,2025-06-07,2025-07-15,2025-08-21,Assam,Guwahati,Guwahati-Block-2,Urban,Female,OBC,39,10th Pass,False,Service,Repair & Maintenance,New,,769605,171041.03,22.22,521603.47,76960.5,IndusInd Bank,IndusInd-Guwahati-5,6,3,3,4,False,,False,,0,Operational,2026-08-06,1956932.51,91
PMEGP-2023-000022,APP-681542,KVIC-MAH-04,2023-24,2023-09-01,2023-11-29,2024-01-25,Maharashtra,Pune,Pune-Block-3,Urban,Female,ST,27,Technical/ITI,False,Manufacturing,Rubber & Plastic Products,Upgraded,PMEGP-2020-017849,1090885,319431.22,29.28,662365.28,109088.5,ICICI Bank,ICICI-Pune-4,8,6,2,9,False,,False,,0,Operational,2025-01-14,2006970.81,85
PMEGP-2024-000023,APP-994343,KVIC-GUJ-14,2025-26,2025-06-07,2025-08-08,2025-09-23,Gujarat,Ahmedabad,Ahmedabad-Block-1,Rural,Male,OBC,38,Below 10th,False,Service,Retail Trade,New,,549759,142782.12,25.97,352000.98,54975.9,Bank of Baroda,Bank-Ahmedabad-5,3,1,2,8,False,,False,,0,Under Observation,2026-08-10,211135.17,62
PMEGP-2025-000024,APP-548462,KVIC-MAH-02,2024-25,2025-01-13,2025-02-12,2025-03-06,Maharashtra,Pune,Pune-Block-5,Urban,Female,SC,44,Post Graduate,False,Manufacturing,Rubber & Plastic Products,New,,810575,268248.54,33.09,461268.96,81057.5,Indian Bank,Indian-Pune-3,3,2,1,5,False,,False,,0,Operational,2025-12-04,2647134.89,93
PMEGP-2023-000025,APP-934794,KVIC-KAR-12,2024-25,2024-04-21,2024-07-17,2024-08-23,Karnataka,Mysuru,Mysuru-Block-1,Rural,Female,OBC,47,Post Graduate,False,Service,Professional Services,New,,362060,102752.45,28.38,223101.55,36206.0,Canara Bank,Canara-Mysuru-3,8,4,4,8,False,,False,,0,Operational,2025-06-04,854952.69,65
PMEGP-2024-000026,APP-288073,KVIC-ODI-06,2023-24,2023-09-18,2023-12-07,2024-01-17,Odisha,Cuttack,Cuttack-Block-3,Rural,Male,OBC,27,Graduate,False,Manufacturing,Mineral Products,New,,581211,193113.2,33.23,329976.7,58121.1,Central Bank of India,Central-Cuttack-4,6,3,3,11,False,,False,,0,Operational,2024-10-12,803650.2,74
PMEGP-2025-000027,APP-960394,KVIC-HAR-11,2024-25,2024-07-26,2024-09-08,2024-09-24,Haryana,Faridabad,Faridabad-Block-4,Rural,Male,OBC,38,Below 10th,False,Service,Entertainment Services,New,,492683,171249.32,34.76,272165.38,49268.3,Bank of India,Bank-Faridabad-9,5,3,2,8,False,,False,,0,Operational,2025-03-30,1451938.14,68
PMEGP-2023-000028,APP-373903,KVIC-UTT-14,2023-24,2023-07-01,2023-09-06,2023-10-07,Uttar Pradesh,Lucknow,Lucknow-Block-5,Rural,Male,General,43,Technical/ITI,False,Service,Entertainment Services,New,,528914,153858.59,29.09,322164.01,52891.4,Indian Bank,Indian-Lucknow-10,6,2,4,5,False,,False,,0,Operational,2024-07-11,1443622.63,93
PMEGP-2024-000029,APP-704596,KVIC-KER-17,2025-26,2025-05-19,2025-07-04,2025-07-21,Kerala,Thrissur,Thrissur-Block-1,Rural,Female,SC,55,Technical/ITI,False,Service,Professional Services,New,,977991,268725.62,27.48,611466.28,97799.1,IndusInd Bank,IndusInd-Thrissur-4,4,2,2,8,False,,False,,0,Operational,2026-02-03,820399.9,95
PMEGP-2025-000030,APP-796503,KVIC-HAR-17,2023-24,2023-09-17,2023-11-25,2023-12-30,Haryana,Gurugram,Gurugram-Block-3,Rural,Male,ST,40,Technical/ITI,False,Service,Beauty & Wellness,New,,542027,162153.66,29.92,325670.64,54202.7,Indian Bank,Indian-Gurugram-5,6,3,3,6,False,,False,,0,Operational,2024-08-15,1334901.53,78
PMEGP-2023-000031,APP-797229,KVIC-PUN-13,2024-25,2024-10-12,2024-12-24,2025-01-19,Punjab,Bathinda,Bathinda-Block-3,Rural,Male,OBC,21,12th Pass,False,Service,Healthcare Services,New,,420392,111947.63,26.63,266405.17,42039.2,Indian Bank,Indian-Bathinda-10,6,2,4,9,False,,False,,0,Operational,2025-11-14,366405.49,79
PMEGP-2024-000032,APP-563638,KVIC-MAD-10,2024-25,2025-03-12,2025-04-24,2025-06-10,Madhya Pradesh,Indore,Indore-Block-1,Urban,Male,OBC,53,Technical/ITI,False,Service,Logistics & Warehousing,New,,849342,207363.86,24.41,557043.94,84934.2,Bank of India,Bank-Indore-2,8,4,4,9,False,,False,,0,Under Observation,2026-05-28,716173.99,49
PMEGP-2025-000033,APP-335552,KVIC-UTT-20,2023-24,2023-07-11,2023-08-19,2023-09-04,Uttar Pradesh,Kanpur,Kanpur-Block-4,Rural,Male,General,25,Graduate,False,Service,Beauty & Wellness,New,,860356,242532.26,28.19,531788.14,86035.6,ICICI Bank,ICICI-Kanpur-4,7,5,2,11,True,2025-05-14,False,,0,Operational,2024-06-12,962777.11,72
PMEGP-2023-000034,APP-254739,KVIC-ASS-08,2025-26,2025-09-15,2025-11-28,2025-12-13,Assam,Guwahati,Guwahati-Block-4,Urban,Female,SC,32,Technical/ITI,False,Manufacturing,Rubber & Plastic Products,New,,1474231,479215.7,32.51,847592.2,147423.1,State Bank of India,State-Guwahati-9,6,4,2,5,False,,False,,0,Under Observation,2026-10-05,807245.56,44
PMEGP-2024-000035,APP-940346,KVIC-BIH-15,2024-25,2024-11-24,2025-02-04,2025-03-24,Bihar,Darbhanga,Darbhanga-Block-3,Urban,Male,ST,53,Graduate,False,Manufacturing,Mineral Products,New,,2401812,781680.01,32.55,1379950.79,240181.2,HDFC Bank,HDFC-Darbhanga-8,5,2,3,0,False,,False,,0,Closed,2026-01-13,0.0,18
PMEGP-2025-000036,APP-888295,KVIC-GUJ-08,2024-25,2024-08-05,2024-10-27,2024-12-21,Gujarat,Bhavnagar,Bhavnagar-Block-4,Urban,Male,ST,38,Graduate,False,Manufacturing,Food Processing,New,,1996412,517327.58,25.91,1279443.22,199641.2,Union Bank of India,Union-Bhavnagar-4,7,3,4,0,False,,False,,0,Closed,2025-09-08,0.0,38
PMEGP-2023-000037,APP-666390,KVIC-KAR-07,2025-26,2025-04-21,2025-05-29,2025-06-22,Karnataka,Mangaluru,Mangaluru-Block-2,Rural,Male,OBC,25,Graduate,False,Manufacturing,Non-Metallic Products,New,,1193908,388303.6,32.52,686213.6,119390.8,HDFC Bank,HDFC-Mangaluru-8,9,6,3,7,False,,False,,0,Operational,2026-02-09,1249133.98,91
PMEGP-2024-000038,APP-540552,KVIC-KER-13,2024-25,2024-10-17,2025-01-12,2025-03-05,Kerala,Thiruvananthapuram,Thiruvananthapuram-Block-5,Rural,Male,OBC,51,Below 10th,False,Manufacturing,Chemical & Chemical Products,New,,1126236,297663.24,26.43,715949.16,112623.6,Indian Bank,Indian-Thiruvananthapuram-7,11,7,4,12,False,,False,,0,Operational,2026-01-03,1208486.4,72
PMEGP-2025-000039,APP-386193,KVIC-WES-06,2023-24,2023-11-10,2024-01-10,2024-01-26,West Bengal,Durgapur,Durgapur-Block-4,Urban,Male,SC,50,10th Pass,False,Manufacturing,Electronics & IT Hardware,New,,1620138,564883.73,34.87,893240.47,162013.8,State Bank of India,State-Durgapur-7,12,6,6,0,False,,False,,0,Closed,2024-08-14,0.0,30
PMEGP-2023-000040,APP-549433,KVIC-TAM-13,2025-26,2025-05-05,2025-07-29,2025-09-11,Tamil Nadu,Chennai,Chennai-Block-3,Urban,Male,General,41,10th Pass,False,Service,Repair & Maintenance,New,,542722,130598.15,24.06,357851.65,54272.2,Bank of India,Bank-Chennai-7,4,1,3,8,False,,False,,0,Operational,2026-05-13,450814.66,91
PMEGP-2024-000041,APP-185884,KVIC-UTT-03,2024-25,2024-11-27,2024-12-28,2025-02-15,Uttar Pradesh,Varanasi,Varanasi-Block-2,Rural,Male,General,23,Below 10th,False,Service,IT & ITES,New,,409044,141618.09,34.62,226521.51,40904.4,State Bank of India,State-Varanasi-10,3,1,2,4,False,,False,,0,Operational,2025-09-15,1286532.41,80
PMEGP-2025-000042,APP-801978,KVIC-MAD-06,2023-24,2023-05-29,2023-08-03,2023-08-31,Madhya Pradesh,Gwalior,Gwalior-Block-3,Urban,Male,ST,28,10th Pass,False,Service,Healthcare Services,New,,313349,109451.7,34.93,172562.4,31334.9,ICICI Bank,ICICI-Gwalior-1,4,1,3,8,False,,False,,0,Operational,2024-06-07,783177.07,95
PMEGP-2023-000043,APP-849747,KVIC-KER-10,2025-26,2025-05-21,2025-06-24,2025-08-15,Kerala,Kochi,Kochi-Block-1,Rural,Male,OBC,28,Post Graduate,False,Manufacturing,Bakery Products,New,,586128,202238.28,34.5,325276.92,58612.8,Bank of India,Bank-Kochi-9,9,6,3,12,False,,False,,0,Operational,2026-02-28,1450290.51,81
PMEGP-2024-000044,APP-778998,KVIC-TEL-14,2023-24,2023-09-22,2023-10-22,2023-12-02,Telangana,Khammam,Khammam-Block-1,Rural,Male,OBC,44,Technical/ITI,False,Manufacturing,Mineral Products,Upgraded,PMEGP-2018-046355,820845,286163.87,34.86,452596.63,82084.5,Indian Bank,Indian-Khammam-3,11,7,4,13,False,,False,,0,Operational,2024-11-03,2174233.03,90
PMEGP-2025-000045,APP-664315,KVIC-TEL-11,2023-24,2023-12-04,2024-02-01,2024-03-14,Telangana,Karimnagar,Karimnagar-Block-3,Urban,Female,ST,36,Below 10th,False,Service,Healthcare Services,New,,672700,230919.65,34.33,374510.35,67270.0,Canara Bank,Canara-Karimnagar-8,6,4,2,20,True,2025-09-02,True,2025-05-02,10,Operational,2024-12-02,2010359.91,70
PMEGP-2023-000046,APP-611233,KVIC-RAJ-09,2025-26,2025-05-25,2025-07-16,2025-08-16,Rajasthan,Kota,Kota-Block-5,Rural,Male,OBC,21,Post Graduate,False,Service,IT & ITES,New,,289771,86024.12,29.69,174769.78,28977.1,Canara Bank,Canara-Kota-7,5,2,3,6,False,,False,,0,Operational,2026-08-07,275923.96,80
PMEGP-2024-000047,APP-777278,KVIC-ODI-10,2025-26,2025-09-30,2025-11-30,2026-01-12,Odisha,Bhubaneswar,Bhubaneswar-Block-1,Urban,Female,ST,35,Graduate,False,Service,Professional Services,Upgraded,PMEGP-2022-020068,896212,300199.42,33.5,506391.38,89621.2,ICICI Bank,ICICI-Bhubaneswar-6,5,2,3,8,False,,False,,0,Operational,2026-10-27,1029505.99,88
PMEGP-2025-000048,APP-677124,KVIC-MAD-09,2025-26,2025-06-24,2025-08-15,2025-10-13,Madhya Pradesh,Gwalior,Gwalior-Block-3,Urban,Male,SC,35,Below 10th,False,Manufacturing,Agro-based Products,New,,903878,286671.52,31.72,526818.68,90387.8,Bank of India,Bank-Gwalior-2,11,6,5,11,False,,False,,0,Operational,2026-05-30,1992546.13,71
PMEGP-2023-000049,APP-874483,KVIC-ODI-10,2025-26,2025-08-02,2025-09-18,2025-11-09,Odisha,Sambalpur,Sambalpur-Block-5,Rural,Male,ST,27,10th Pass,False,Manufacturing,Paper & Paper Products,New,,977066,318048.39,32.55,561311.01,97706.6,Bank of India,Bank-Sambalpur-3,7,4,3,5,False,,False,,0,Operational,2026-11-05,1343468.91,82
PMEGP-2024-000050,APP-232731,KVIC-BIH-16,2023-24,2023-08-19,2023-09-20,2023-10-08,Bihar,Bhagalpur,Bhagalpur-Block-2,Rural,Male,OBC,27,Below 10th,False,Manufacturing,Electronics & IT Hardware,New,,1096302,312254.82,28.48,674416.98,109630.2,Central Bank of India,Central-Bhagalpur-8,10,6,4,13,False,,False,,0,Operational,2024-05-22,3429651.46,95
PMEGP-2025-000051,APP-153872,KVIC-MAH-16,2025-26,2025-06-04,2025-09-02,2025-10-17,Maharashtra,Mumbai,Mumbai-Block-4,Rural,Female,OBC,25,Post Graduate,False,Service,Logistics & Warehousing,Upgraded,PMEGP-2023-009944,356445,106670.38,29.93,214130.12,35644.5,ICICI Bank,ICICI-Mumbai-5,2,1,1,3,False,,False,,0,Operational,2026-05-15,516272.5,82
PMEGP-2023-000052,APP-901577,KVIC-ODI-17,2023-24,2023-10-31,2024-01-07,2024-02-29,Odisha,Sambalpur,Sambalpur-Block-2,Rural,Male,General,45,Graduate,False,Service,Repair & Maintenance,New,,511797,145640.4,28.46,314976.9,51179.7,ICICI Bank,ICICI-Sambalpur-7,4,3,1,2,False,,False,,0,Operational,2025-01-30,675152.55,95
PMEGP-2024-000053,APP-876039,KVIC-HAR-03,2023-24,2023-05-21,2023-08-19,2023-09-16,Haryana,Faridabad,Faridabad-Block-3,Rural,Male,General,31,10th Pass,False,Manufacturing,Handicrafts,New,,1657611,448604.85,27.06,1043245.05,165761.1,Punjab National Bank,Punjab-Faridabad-3,3,1,2,7,False,,False,,0,Operational,2024-07-07,4903889.77,87
PMEGP-2025-000054,APP-722656,KVIC-KAR-15,2024-25,2024-11-27,2025-01-14,2025-01-31,Karnataka,Hubballi,Hubballi-Block-3,Rural,Female,ST,25,Technical/ITI,False,Manufacturing,Wood Products,New,,2437581,791789.61,32.48,1402033.29,243758.1,Union Bank of India,Union-Hubballi-10,6,2,4,10,False,,False,,0,Operational,2025-08-28,4388315.35,82
PMEGP-2023-000055,APP-335729,KVIC-TEL-02,2024-25,2025-02-26,2025-04-06,2025-05-08,Telangana,Warangal,Warangal-Block-1,Urban,Male,OBC,31,12th Pass,False,Manufacturing,Electronics & IT Hardware,New,,2070678,458313.43,22.13,1405296.77,207067.8,ICICI Bank,ICICI-Warangal-5,10,7,3,9,False,,False,,0,Operational,2026-03-03,4631498.76,87
PMEGP-2024-000056,APP-418862,KVIC-BIH-15,2023-24,2024-03-24,2024-05-18,2024-06-19,Bihar,Darbhanga,Darbhanga-Block-4,Rural,Male,General,26,Post Graduate,False,Manufacturing,Textile & Garments,New,,2365254,667493.4,28.22,1461235.2,236525.4,Indian Bank,Indian-Darbhanga-6,12,5,7,0,False,,False,,0,Closed,2024-12-22,0.0,12
PMEGP-2025-000057,APP-340044,KVIC-PUN-19,2024-25,2025-03-12,2025-06-03,2025-07-24,Punjab,Ludhiana,Ludhiana-Block-3,Urban,Female,OBC,23,10th Pass,False,Service,Repair & Maintenance,New,,744173,167099.54,22.45,502656.16,74417.3,Axis Bank,Axis-Ludhiana-8,4,2,2,4,False,,False,,0,Operational,2026-06-18,1165519.99,78
PMEGP-2023-000058,APP-765620,KVIC-RAJ-11,2024-25,2024-12-08,2025-01-12,2025-02-26,Rajasthan,Udaipur,Udaipur-Block-3,Urban,Male,OBC,27,10th Pass,False,Service,Education & Training,New,,631641,101175.15,16.02,467301.75,63164.1,IndusInd Bank,IndusInd-Udaipur-8,4,1,3,8,False,,False,,0,Operational,2026-01-12,779343.75,66
PMEGP-2024-000059,APP-576919,KVIC-RAJ-17,2023-24,2023-05-16,2023-07-05,2023-08-05,Rajasthan,Jaipur,Jaipur-Block-4,Rural,Male,ST,21,Technical/ITI,False,Service,Business Services,New,,684417,238339.91,34.82,377635.39,68441.7,Indian Bank,Indian-Jaipur-1,3,1,2,6,False,,False,,0,Operational,2024-07-09,2057422.24,89
PMEGP-2025-000060,APP-622707,KVIC-KAR-05,2023-24,2024-02-15,2024-04-13,2024-05-01,Karnataka,Hubballi,Hubballi-Block-5,Rural,Female,ST,39,Graduate,False,Service,Professional Services,New,,708257,231564.13,32.69,405867.17,70825.7,Punjab National Bank,Punjab-Hubballi-1,7,3,4,8,False,,False,,0,Operational,2025-04-27,1030164.25,70
PMEGP-2023-000061,APP-425845,KVIC-WES-04,2023-24,2024-01-08,2024-02-07,2024-03-28,West Bengal,Kolkata,Kolkata-Block-2,Urban,Male,OBC,50,Below 10th,False,Service,Logistics & Warehousing,New,,361450,56090.66,15.52,269214.34,36145.0,Central Bank of India,Central-Kolkata-5,6,3,3,18,False,,True,2025-11-30,10,Under Observation,2025-01-22,178343.88,47
PMEGP-2024-000062,APP-578975,KVIC-KAR-05,2025-26,2025-08-20,2025-09-28,2025-11-06,Karnataka,Belagavi,Belagavi-Block-5,Rural,Female,SC,25,12th Pass,False,Service,Entertainment Services,New,,635098,180931.05,28.49,390657.15,63509.8,Bank of India,Bank-Belagavi-9,4,3,1,2,False,,False,,0,Operational,2026-07-16,2162872.38,88
PMEGP-2025-000063,APP-413058,KVIC-MAD-18,2023-24,2024-01-26,2024-04-02,2024-05-29,Madhya Pradesh,Indore,Indore-Block-4,Urban,Female,General,51,12th Pass,False,Service,Education & Training,New,,778727,182364.53,23.42,518489.77,77872.7,HDFC Bank,HDFC-Indore-7,5,2,3,8,False,,False,,0,Operational,2025-01-12,968360.77,87
PMEGP-2023-000064,APP-350405,KVIC-TEL-11,2025-26,2025-08-25,2025-10-18,2025-11-16,Telangana,Khammam,Khammam-Block-1,Urban,Male,OBC,51,Technical/ITI,False,Manufacturing,Bakery Products,New,,1299499,251990.39,19.39,917558.71,129949.9,Indian Bank,Indian-Khammam-3,10,5,5,8,False,,False,,0,Operational,2026-06-16,2097027.86,81
PMEGP-2024-000065,APP-718849,KVIC-TEL-17,2025-26,2025-06-24,2025-09-17,2025-10-08,Telangana,Khammam,Khammam-Block-1,Rural,Male,ST,50,Below 10th,False,Service,Professional Services,New,,351157,109709.8,31.24,206331.5,35115.7,Indian Bank,Indian-Khammam-3,2,0,2,0,False,,False,,0,Closed,2026-06-12,0.0,20
PMEGP-2025-000066,APP-753534,KVIC-MAH-13,2024-25,2025-03-21,2025-05-15,2025-07-10,Maharashtra,Nagpur,Nagpur-Block-5,Rural,Male,SC,41,Technical/ITI,False,Service,Professional Services,New,,996290,327639.65,32.89,569021.35,99629.0,Central Bank of India,Central-Nagpur-9,2,0,2,1,False,,False,,0,Operational,2026-03-07,1465463.56,85
PMEGP-2023-000067,APP-817644,KVIC-WES-15,2025-26,2025-06-13,2025-07-27,2025-08-16,West Bengal,Kolkata,Kolkata-Block-1,Rural,Male,SC,31,Technical/ITI,False,Manufacturing,Paper & Paper Products,New,,2394617,625146.31,26.11,1530008.99,239461.7,State Bank of India,State-Kolkata-1,8,5,3,6,False,,False,,0,Operational,2026-04-28,4484341.03,76
PMEGP-2024-000068,APP-493049,KVIC-BIH-06,2025-26,2025-07-20,2025-08-28,2025-09-27,Bihar,Muzaffarpur,Muzaffarpur-Block-5,Rural,Male,SC,31,10th Pass,False,Service,Hotel & Restaurant,New,,839098,255314.4,30.43,499873.8,83909.8,Indian Bank,Indian-Muzaffarpur-10,7,3,4,8,False,,False,,0,Operational,2026-07-31,1082699.76,94
PMEGP-2025-000069,APP-711484,KVIC-HAR-09,2025-26,2025-05-07,2025-06-20,2025-08-03,Haryana,Panipat,Panipat-Block-4,Rural,Male,OBC,21,Graduate,False,Manufacturing,Paper & Paper Products,New,,1921053,577447.15,30.06,1151500.55,192105.3,HDFC Bank,HDFC-Panipat-3,4,2,2,9,False,,False,,0,Operational,2026-04-28,6060412.28,83
